"cell_type","temporal_label","temporal_id","broad_temp","vDpp","vOptix","vVsx","dVsx","dOptix","dDpp","Confident_annotation","subsystem","Notch","newly_ann","func","ntype","putative_OPC","ozel2021_cluster","putative_hl1","putative_hl2","putative_hl3"
"Sm27","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","intrinsic",TRUE,NA,"N","N","N"
"Sm28","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Polarization","","","Polarization","intrinsic",TRUE,NA,"N","N","N"
"Sm29","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","intrinsic",TRUE,NA,"N","N","N"
"Sm30","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Luminance","","","Luminance","intrinsic",TRUE,NA,"N","N","N"
"Sm31","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","intrinsic",TRUE,NA,"N","N","N"
"Sm32","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","intrinsic",TRUE,NA,"N","N","N"
"Sm33","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","intrinsic",TRUE,NA,"N","N","N"
"Sm34","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","intrinsic",TRUE,NA,"N","N","N"
"Sm35","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","intrinsic",TRUE,NA,"N","N","N"
"Sm36","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","intrinsic",TRUE,NA,"N","N","N"
"Sm37","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","intrinsic",TRUE,NA,"N","N","N"
"Sm38","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",FALSE,NA,"N","N","N"
"Sm39","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Luminance","","","Luminance","",FALSE,NA,"N","N","N"
"Sm40","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","intrinsic",TRUE,NA,"N","N","N"
"Sm41","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","intrinsic",TRUE,NA,"N","N","N"
"Sm42","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","intrinsic",TRUE,NA,"N","N","N"
"T2","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Object","","","Object","",FALSE,6,"N","N","N"
"T2a","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Object","","","Object","",FALSE,60,"N","N","N"
"T3","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Object","","","Object","",FALSE,7,"N","N","N"
"T4a","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE,234,"N","N","N"
"T4b","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE,234,"N","N","N"
"T4c","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE,235,"N","N","N"
"T4d","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE,235,"N","N","N"
"T5a","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE,234,"N","N","N"
"T5b","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE,234,"N","N","N"
"T5c","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE,235,"N","N","N"
"T5d","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE,235,"N","N","N"
"Tlp1","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE,NA,"N","N","N"
"Tlp14","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE,NA,"N","N","N"
"Tlp4","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE,NA,"N","N","N"
"Tlp5","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE,NA,"N","N","N"
"Tm16","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","projection",TRUE,NA,"Y","N","N"
"Tm31","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","projection",TRUE,NA,"N","N","N"
"Tm32","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","projection",TRUE,NA,"N","N","N"
"Tm34","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","projection",TRUE,NA,"N","N","N"
"Tm35","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","projection",TRUE,NA,"N","N","N"
