"cell_type","temporal_label","temporal_id","vDpp","vOptix","vVsx","dVsx","dOptix","dDpp","Confident_annotation","subsystem","Notch","newly_ann","func","ntype","putative_OPC"
"Sm24","unknown",0,NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",TRUE
"Sm32","unknown",0,NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",TRUE
"Sm04","unknown",0,NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",TRUE
"Sm20","unknown",0,NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",TRUE
"Sm09","unknown",0,NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",TRUE
"Sm31","unknown",0,NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",TRUE
"Sm40","unknown",0,NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",TRUE
"Sm27","unknown",0,NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",TRUE
"Sm36","unknown",0,NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",TRUE
"Sm42","unknown",0,NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",TRUE
"Sm13","unknown",0,NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",TRUE
"Sm11","unknown",0,NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",TRUE
"Sm06","unknown",0,NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",TRUE
"Sm16","unknown",0,NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",TRUE
"Sm07","unknown",0,NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",TRUE
"Sm37","unknown",0,NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",TRUE
"Sm23","unknown",0,NA,NA,NA,NA,NA,NA,"N","Polarization","","","Polarization","",TRUE
"Sm30","unknown",0,NA,NA,NA,NA,NA,NA,"N","Luminance","","","Luminance","",TRUE
"Sm08","unknown",0,NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",TRUE
"Sm22","unknown",0,NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",TRUE
"Sm10","unknown",0,NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",TRUE
"Pm13","unknown",0,NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",FALSE
"Sm05","unknown",0,NA,NA,NA,NA,NA,NA,"N","Luminance","","","Luminance","",TRUE
"Tm8b","unknown",0,NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",TRUE
"TmY16","unknown",0,NA,NA,NA,NA,NA,NA,"N","Object","","","Object","",TRUE
"TmY20","unknown",0,NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",TRUE
"TmY9q","unknown",0,NA,NA,NA,NA,NA,NA,"N","Form","","","Form","",TRUE
"TmY9q__perp","unknown",0,NA,NA,NA,NA,NA,NA,"N","Unannotated","","","Unannotated","",TRUE
"Y1","unknown",0,NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE
"Y11","unknown",0,NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE
"Y12","unknown",0,NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE
"Y3","unknown",0,NA,NA,NA,NA,NA,NA,"N","Object","","","Object","",FALSE
"Y4","unknown",0,NA,NA,NA,NA,NA,NA,"N","Object","","","Object","",FALSE
"Dm13","unknown",0,NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",TRUE
"Dm14","unknown",0,NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",TRUE
"Dm16","unknown",0,NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",TRUE
"Dm17","unknown",0,NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",TRUE
"Dm18","unknown",0,NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",TRUE
"Dm20","unknown",0,NA,NA,NA,NA,NA,NA,"N","Luminance","","","Luminance","",TRUE
"Mi13","unknown",0,NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",TRUE
"Mi14","unknown",0,NA,NA,NA,NA,NA,NA,"N","Object","","","Object","",TRUE
"T2","unknown",0,NA,NA,NA,NA,NA,NA,"N","Object","","","Object","",FALSE
"T2a","unknown",0,NA,NA,NA,NA,NA,NA,"N","Object","","","Object","",FALSE
"T3","unknown",0,NA,NA,NA,NA,NA,NA,"N","Object","","","Object","",FALSE
"T4a","unknown",0,NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE
"T4b","unknown",0,NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE
"T4c","unknown",0,NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE
"T4d","unknown",0,NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE
"T5a","unknown",0,NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE
"T5b","unknown",0,NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE
"T5c","unknown",0,NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE
"T5d","unknown",0,NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE
"Tlp1","unknown",0,NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE
"Tlp4","unknown",0,NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE
"Tlp5","unknown",0,NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE
"Tlp14","unknown",0,NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE
"Tm16","unknown",0,NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",TRUE
"Tm31","unknown",0,NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",TRUE
"Tm32","unknown",0,NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",TRUE
"Tm35","unknown",0,NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",TRUE
"Tm36","unknown",0,NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",TRUE
"Tm37","unknown",0,NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",TRUE
"Tm34","unknown",0,NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",TRUE
"Tm7","unknown",0,NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",TRUE
"TmY31","unknown",0,NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",TRUE
"Mi1","Hth",1,1,1,1,1,1,1,"Y","Motion","Notch On","N","Motion","intrinsic",FALSE
"Pm01","Hth",1,0,1,0,0,0,0,"Y","Object","Notch Off","N","Object","intrinsic",FALSE
"Pm03","Hth",1,0,0,0,0,0,1,"Y","Object","Notch Off","N","Object","intrinsic",FALSE
"Pm04","Hth",1,0,0,1,1,0,0,"Y","Object","Notch Off","N","Object","intrinsic",FALSE
"Pm09","Hth",1,0,0,1,1,0,0,"Y","Object","Notch Off","N","Object","intrinsic",FALSE
"Li14","Hth",1,0,0,1,1,0,0,"Y","Motion","Notch Off","N","Motion","projection",FALSE
"TmY15","Hth",1,0,0,1,1,0,0,"Y","Object","Notch Off","N","Object","projection",FALSE
"Pm08","Between Hth & Hth/Opa",1,NA,NA,NA,NA,NA,NA,"N","Object","Notch Off","","Object","intrinsic",TRUE
"Pm06","Between Hth & Hth/Opa",1,NA,NA,NA,NA,NA,NA,"N","Object","Notch Off","","Object","intrinsic",TRUE
"Pm10","Between Hth & Hth/Opa",1,NA,NA,NA,NA,NA,NA,"N","Object","Notch Off","","Object","intrinsic",TRUE
"Pm02","Between Hth & Hth/Opa",1,NA,NA,NA,NA,NA,NA,"N","Object","Notch Off","","Object","intrinsic",TRUE
"Pm07","Between Hth & Hth/Opa",1,NA,NA,NA,NA,NA,NA,"N","Object","Notch Off","","Object","intrinsic",TRUE
"Pm11","Between Hth & Hth/Opa",1,NA,NA,NA,NA,NA,NA,"N","Object","Notch Off","","Object","intrinsic",TRUE
"Tm1","Hth/Opa",2,1,1,1,1,1,1,"Y","Motion","Notch On","N","Motion","projection",FALSE
"Tm4","Hth/Opa",2,1,1,1,1,1,1,"Y","Motion","Notch On","N","Motion","projection",FALSE
"Mi4","Hth/Opa",2,1,1,0,0,1,1,"Y","Color","Notch Off","N","Color","intrinsic",FALSE
"Pm05","Hth/Opa",2,0,0,1,1,0,0,"Y","Object","Notch Off","N","Object","intrinsic",FALSE
"Mi9","Opa/Erm",3,1,1,0,0,1,1,"Y","Luminance","Notch Off","N","Luminance","intrinsic",FALSE
"Tm5c","Opa/Erm",3,1,1,1,1,1,1,"Y","Color","Notch Off","N","Color","projection",FALSE
"Tm9","Erm/Ey",4,0,1,1,0,1,1,"Y","Motion","Notch On","N","Motion","projection",FALSE
"Tm3","Erm/Ey",4,0,1,1,1,1,0,"Y","Motion","Notch On","N","Motion","projection",FALSE
"Mi10","Erm/Ey",4,0,1,0,0,0,0,"Y","Color","Notch On","N","Color","intrinsic",FALSE
"Tm27","Erm/Ey",4,0,0,1,1,1,0,"Y","Object","Notch On","N","Object","projection",FALSE
